epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,12.4157,0.56184,1.0033,0.96898,0.9117,0.37066,0.43395,0.30224,1.79812,2.34885,1.58968,2.82082e-05,2.82082e-05,2.82082e-05
40,12.6943,0.90963,1.41742,1.32603,0.9117,0.37066,0.43395,0.30224,1.79812,2.34885,1.58968,2.84911e-05,2.84911e-05,2.84911e-05
41,12.994,0.74672,0.84142,1.0852,0.91967,0.37106,0.40974,0.2806,1.76496,2.3433,1.55131,2.87504e-05,2.87504e-05,2.87504e-05
42,13.2777,0.97724,1.15703,1.26814,0.91967,0.37106,0.40974,0.2806,1.76496,2.3433,1.55131,2.89861e-05,2.89861e-05,2.89861e-05
43,13.5685,0.70191,1.18993,1.21227,0.92212,0.3705,0.40933,0.2644,1.77815,2.37314,1.5557,2.91983e-05,2.91983e-05,2.91983e-05
44,13.8454,1.08922,1.98118,1.41197,0.92212,0.3705,0.40933,0.2644,1.77815,2.37314,1.5557,2.93869e-05,2.93869e-05,2.93869e-05
45,14.1429,0.79108,1.19167,1.2601,0.92762,0.37122,0.41447,0.3007,1.77198,2.37851,1.54944,2.9552e-05,2.9552e-05,2.9552e-05
46,14.4197,0.99274,1.08832,1.32963,0.92762,0.37122,0.41447,0.3007,1.77198,2.37851,1.54944,2.96935e-05,2.96935e-05,2.96935e-05
47,14.7161,1.17176,1.72954,1.4136,0.9483,0.38704,0.42014,0.30246,1.75934,2.35418,1.53781,2.98114e-05,2.98114e-05,2.98114e-05
48,15.0832,0.76634,0.78936,1.22557,0.9483,0.38704,0.42014,0.30246,1.75934,2.35418,1.53781,2.99058e-05,2.99058e-05,2.99058e-05
49,15.3425,0.62278,0.93162,1.11581,0.95138,0.38699,0.41994,0.3023,1.75868,2.34786,1.51027,2.99766e-05,2.99766e-05,2.99766e-05
50,15.6013,0.82913,1.04833,1.20555,0.95138,0.38699,0.41994,0.3023,1.75868,2.34786,1.51027,3.00238e-05,3.00238e-05,3.00238e-05
51,15.9234,0.76271,0.88771,1.14083,0.95479,0.38696,0.42086,0.30251,1.74538,2.31675,1.4927,3.00475e-05,3.00475e-05,3.00475e-05
52,16.2372,0.78274,1.22994,1.18064,0.95479,0.38696,0.42086,0.30251,1.74538,2.31675,1.4927,3.00476e-05,3.00476e-05,3.00476e-05
53,16.5552,0.82889,1.16506,1.19554,0.95479,0.38696,0.42086,0.30251,1.74538,2.31675,1.4927,3.00242e-05,3.00242e-05,3.00242e-05
54,16.9116,0.74733,0.95462,1.27225,0.9636,0.38761,0.42194,0.30277,1.75993,2.3052,1.4978,2.99772e-05,2.99772e-05,2.99772e-05
55,17.2058,0.68071,1.04925,1.09708,0.9636,0.38761,0.42194,0.30277,1.75993,2.3052,1.4978,2.99066e-05,2.99066e-05,2.99066e-05
56,17.5068,0.74604,0.92027,1.24091,0.9636,0.38761,0.42194,0.30277,1.75993,2.3052,1.4978,2.98125e-05,2.98125e-05,2.98125e-05
57,17.7785,0.66969,0.71414,1.08515,0.96559,0.38733,0.42283,0.31107,1.78298,2.31562,1.50232,2.96948e-05,2.96948e-05,2.96948e-05
58,18.0483,0.66426,0.74181,1.21148,0.96559,0.38733,0.42283,0.31107,1.78298,2.31562,1.50232,2.95535e-05,2.95535e-05,2.95535e-05
59,18.3212,0.93125,0.91288,1.11288,0.96559,0.38733,0.42283,0.31107,1.78298,2.31562,1.50232,2.93887e-05,2.93887e-05,2.93887e-05
60,18.627,0.826,1.63552,1.18291,0.97289,0.386,0.42472,0.31195,1.76746,2.33199,1.4915,2.92003e-05,2.92003e-05,2.92003e-05
61,18.9073,0.72393,0.95849,1.01489,0.97289,0.386,0.42472,0.31195,1.76746,2.33199,1.4915,2.89884e-05,2.89884e-05,2.89884e-05
62,19.1877,0.55743,0.73595,0.97569,0.97289,0.386,0.42472,0.31195,1.76746,2.33199,1.4915,2.87529e-05,2.87529e-05,2.87529e-05
63,19.478,0.74382,1.39181,1.24305,0.95817,0.39053,0.42612,0.31158,1.77839,2.34625,1.52621,2.84938e-05,2.84938e-05,2.84938e-05
64,19.7587,0.69982,0.86097,1.1711,0.95817,0.39053,0.42612,0.31158,1.77839,2.34625,1.52621,2.82112e-05,2.82112e-05,2.82112e-05
65,20.1739,0.79652,0.69184,1.18068,0.95817,0.39053,0.42612,0.31158,1.77839,2.34625,1.52621,2.7905e-05,2.7905e-05,2.7905e-05
66,20.469,0.80355,1.27911,1.14396,0.94659,0.39451,0.42677,0.30951,1.78369,2.36087,1.5222,2.75753e-05,2.75753e-05,2.75753e-05
67,20.7489,0.87519,1.27605,1.28471,0.94659,0.39451,0.42677,0.30951,1.78369,2.36087,1.5222,2.7222e-05,2.7222e-05,2.7222e-05
68,21.0171,0.88167,0.89356,1.17754,0.94659,0.39451,0.42677,0.30951,1.78369,2.36087,1.5222,2.68451e-05,2.68451e-05,2.68451e-05
69,21.3036,0.75712,0.82386,1.12377,0.94537,0.39489,0.42704,0.2928,1.78782,2.39451,1.50343,2.64447e-05,2.64447e-05,2.64447e-05
70,21.5712,0.65114,0.63711,1.03525,0.94537,0.39489,0.42704,0.2928,1.78782,2.39451,1.50343,2.60207e-05,2.60207e-05,2.60207e-05
71,21.8493,0.63414,0.65747,1.06587,0.94537,0.39489,0.42704,0.2928,1.78782,2.39451,1.50343,2.55731e-05,2.55731e-05,2.55731e-05
72,22.1427,0.46873,0.7754,1.01425,0.91178,0.4,0.42714,0.29054,1.80185,2.4047,1.51386,2.5102e-05,2.5102e-05,2.5102e-05
73,22.3888,0.70751,0.78584,1.11785,0.91178,0.4,0.42714,0.29054,1.80185,2.4047,1.51386,2.46073e-05,2.46073e-05,2.46073e-05
74,22.6231,0.5862,0.62304,1.07964,0.91178,0.4,0.42714,0.29054,1.80185,2.4047,1.51386,2.40891e-05,2.40891e-05,2.40891e-05
75,22.8768,0.77047,0.79892,1.12152,0.85822,0.4,0.42751,0.2848,1.81773,2.40548,1.51467,2.35472e-05,2.35472e-05,2.35472e-05
76,23.1351,0.59032,0.61369,1.03815,0.85822,0.4,0.42751,0.2848,1.81773,2.40548,1.51467,2.29819e-05,2.29819e-05,2.29819e-05
77,23.3749,0.76871,0.91069,1.12164,0.85822,0.4,0.42751,0.2848,1.81773,2.40548,1.51467,2.23929e-05,2.23929e-05,2.23929e-05
78,23.6426,0.86871,1.01491,1.27244,0.83151,0.4,0.43082,0.2845,1.78558,2.36424,1.47674,2.17805e-05,2.17805e-05,2.17805e-05
79,23.9219,0.69625,0.91256,1.13748,0.83151,0.4,0.43082,0.2845,1.78558,2.36424,1.47674,2.11444e-05,2.11444e-05,2.11444e-05
80,24.1673,0.64007,0.61303,1.03383,0.83151,0.4,0.43082,0.2845,1.78558,2.36424,1.47674,2.04848e-05,2.04848e-05,2.04848e-05
81,24.4332,0.56923,1.24794,1.07589,0.83245,0.4,0.43072,0.28455,1.76813,2.34968,1.45296,1.98016e-05,1.98016e-05,1.98016e-05
82,24.6935,0.66115,0.66462,1.21471,0.83245,0.4,0.43072,0.28455,1.76813,2.34968,1.45296,1.90949e-05,1.90949e-05,1.90949e-05
83,25.0873,0.80273,0.81561,1.3599,0.83245,0.4,0.43072,0.28455,1.76813,2.34968,1.45296,1.83646e-05,1.83646e-05,1.83646e-05
84,25.3717,0.69157,0.76215,1.05764,0.83743,0.41554,0.43125,0.28504,1.80069,2.31976,1.47659,1.76107e-05,1.76107e-05,1.76107e-05
85,25.6105,0.68002,0.84044,1.1579,0.83743,0.41554,0.43125,0.28504,1.80069,2.31976,1.47659,1.68333e-05,1.68333e-05,1.68333e-05
86,25.868,0.60983,1.05684,1.07967,0.83743,0.41554,0.43125,0.28504,1.80069,2.31976,1.47659,1.60323e-05,1.60323e-05,1.60323e-05
87,26.1137,1.24486,1.66542,1.63569,0.83743,0.41554,0.43125,0.28504,1.80069,2.31976,1.47659,1.52077e-05,1.52077e-05,1.52077e-05
88,26.3777,0.59397,0.8593,1.07606,0.82529,0.41667,0.4295,0.28154,1.80405,2.31007,1.47181,1.43596e-05,1.43596e-05,1.43596e-05
89,26.6266,0.42462,0.79261,1.10507,0.82529,0.41667,0.4295,0.28154,1.80405,2.31007,1.47181,1.34879e-05,1.34879e-05,1.34879e-05
90,26.8615,0.87294,0.85948,1.29332,0.82529,0.41667,0.4295,0.28154,1.80405,2.31007,1.47181,1.25927e-05,1.25927e-05,1.25927e-05
91,27.5007,0.58313,0.52509,1.05017,0.82529,0.41667,0.4295,0.28154,1.80405,2.31007,1.47181,1.16739e-05,1.16739e-05,1.16739e-05
92,27.8027,0.72694,0.68246,1.18691,0.83612,0.41667,0.43032,0.2814,1.81615,2.38496,1.49985,1.07315e-05,1.07315e-05,1.07315e-05
93,28.0672,0.53453,0.62594,0.97056,0.83612,0.41667,0.43032,0.2814,1.81615,2.38496,1.49985,9.76562e-06,9.76562e-06,9.76562e-06
94,28.3214,0.62881,0.62608,0.95938,0.83612,0.41667,0.43032,0.2814,1.81615,2.38496,1.49985,8.77613e-06,8.77613e-06,8.77613e-06
95,28.5654,0.58185,0.59834,0.98361,0.83612,0.41667,0.43032,0.2814,1.81615,2.38496,1.49985,7.76308e-06,7.76308e-06,7.76308e-06
96,28.8153,0.57597,0.50103,1.00921,0.83979,0.41667,0.42717,0.28177,1.82229,2.38914,1.49295,6.72648e-06,6.72648e-06,6.72648e-06
97,29.0807,0.47394,0.4735,0.97735,0.83979,0.41667,0.42717,0.28177,1.82229,2.38914,1.49295,5.6663e-06,5.6663e-06,5.6663e-06
98,29.3261,0.61771,0.5592,1.00564,0.83979,0.41667,0.42717,0.28177,1.82229,2.38914,1.49295,4.58257e-06,4.58257e-06,4.58257e-06
99,29.7305,0.58292,0.60104,1.0488,0.83979,0.41667,0.42717,0.28177,1.82229,2.38914,1.49295,3.47528e-06,3.47528e-06,3.47528e-06
100,29.9889,0.49178,0.44548,0.94403,0.9019,0.41662,0.42986,0.28255,1.81231,2.40941,1.46674,2.34442e-06,2.34442e-06,2.34442e-06
